AudioFile,Text,Text机器识别
common_voice_zh-CN_18524189_16000,正巧母亲往外探头。,正巧母亲往外探头。
common_voice_zh-CN_18531536_16000,汉元鼎六年武帝平定南越国，南越之地重新画郡，番禺人为南海郡治。,汉元鼎六年五帝平定南越国，南越之地重新画郡，番（语料错读为fan1）于沦为南海郡治。
common_voice_zh-CN_18531537_16000,梅瑞迪安是位于美国加利福尼亚州科恩县的一个非建制地区。,梅瑞迪安是位于美国加利福尼亚州科恩县的一个非建制地区。
common_voice_zh-CN_18531538_16000,制作时将各原料研磨。,制作时将各原料研磨。
common_voice_zh-CN_18531539_16000,当时白居易罢去校书郎的官职与友人元稹在华阳观准备应考。,当时白居易罢去校书郎的官职与有人元整在华阳关（观，语料错读为guan1）准备应考。
common_voice_zh-CN_18531540_16000,印第安维尔斯是位于美国加利福尼亚州科恩县的一个非建制地区。,印第安维尔斯是位于美国加利福尼亚州科恩县的一个非建制地区。
common_voice_zh-CN_18531541_16000,不确定的就等着缴钱。,不确定的就等着交钱。（这个我不知道他读的什么）
common_voice_zh-CN_18531542_16000,此举被网民提及，媒体称为是用爱发电。,慈禧被网民提及媒体称为实用爱发电。
common_voice_zh-CN_18531543_16000,除了停泊船只外，古生渔港也设有鱼市场等渔业设施。,除了停泊船之外，古山渔港也设有鱼市场等渔业设施。（这个我也不确定）
common_voice_zh-CN_18531544_16000,蔡英，原籍江西南昌县，移籍山东禹城县，明朝政治人物、进士出身。,蔡英元杰、江西南昌县以及山东虞城县明朝政治人物竟是出身。
